"Sprite Reference","Continent","Type","Who","English","ID","Trigger","User Data","Repeatable","Memory","Notes","English Old","French","Italian","German","Spanish","Brasilian","Dutch","Hungarian","Polish","Russian",""
"Mauritania","Africa","TheCountryUppercase","HUDText","Mauritania","PSG_10009725","","","","","","","Mauritanie","Mauritania","Mauretanien","Mauritania","Mauritânia","Mauritanië","Mauritánia","Mauretania","Мавритания",""
"Mauritius","Africa","TheCountryUppercase","HUDText","Mauritius","PSG_10009726","","","","","","","Maurice","Mauritius","Mauritius","Mauricio","Maurício","Mauritius","Mauritius","Mauritius","Маврикий",""
"Mexico","North America","TheCountryUppercase","HUDText","Mexico","PSG_10009727","","","","","","","Mexique","Messico","Mexiko","México","México","Mexico","Mexikó","Meksyk","Мексика",""
"Micronesia","Oceania","TheCountryUppercase","HUDText","Micronesia","PSG_10009728","","","","","","","Micronésie","Micronesia","Mikronesien","Micronesia","Micronésia","Micronesië","Mikronézia","Mikronezja","Микронезия",""
"Moldova","Europe","TheCountryUppercase","HUDText","Moldova","PSG_10009729","","","","","","","Moldavie","Moldavia","Moldawien","Moldavia","Moldávia","Moldavië","Moldova","Mołdawia","Молдова",""
"Monaco","Europe","TheCountryUppercase","HUDText","Monaco","PSG_10009730","","","","","","","Monaco","Monaco","Monaco","Mónaco","Mônaco","Monaco","Monaco","Monako","Монако",""
"Mongolia","Asia","TheCountryUppercase","HUDText","Mongolia","PSG_10009731","","","","","","","Mongolie","Mongolia","Mongolei","Mongolia","Mongólia","Mongolië","Mongólia","Mongolia","Монголия",""
"Montenegro","Europe","TheCountryUppercase","HUDText","Montenegro","PSG_10009732","","","","","","","Monténégro","Montenegro","Montenegro","Montenegro","Montenegro","Montenegro","Montenegró","Czarnogóra","Черногория",""
"Montserrat","North America","TheCountryUppercase","HUDText","Montserrat","PSG_10009733","","","","","","","Montserrat","Montserrat","Montserrat","Montserrat","Montserrat","Montserrat","Montserrat","Montserrat","Монтсеррат",""
"Morocco","Africa","TheCountryUppercase","HUDText","Morocco","PSG_10009734","","","","","","","Maroc","Marocco","Marokko","Marruecos","Marrocos","Marokko","Marokkó","Maroko","Марокко",""
"Mozambique","Africa","TheCountryUppercase","HUDText","Mozambique","PSG_10009735","","","","","","","Mozambique","Mozambico","Mosambik","Mozambique","Moçambique","Mozambique","Mozambik","Mozambik","Мозамбик",""
"Namibia","Africa","TheCountryUppercase","HUDText","Namibia","PSG_10009736","","","","","","","Namibie","Namibia","Namibia","Namibia","Namíbia","Namibië","Namíbia","Namibia","Намибия",""
"Nauru","Oceania","TheCountryUppercase","HUDText","Nauru","PSG_10009737","","","","","","","Nauru","Nauru","Nauru","Nauru","Nauru","Nauru","Nauru","Nauru","Науру",""
"Nepal","Asia","TheCountryUppercase","HUDText","Nepal","PSG_10009738","","","","","","","Népal","Nepal","Nepal","Nepal","Nepal","Nepal","Nepál","Nepal","Непал",""
"Netherlands","Europe","TheCountryUppercase","HUDText","Netherlands","PSG_10009739","","","","","","","Pays-Bas","Paesi Bassi","Niederlande","Países Bajos","Países Baixos","Nederland","Hollandia","Holandia","Нидерланды",""
"NewCaledonia","Oceania","TheCountryUppercase","HUDText","New Caledonia","PSG_10009740","","","","","","","Nouvelle-Calédonie","Nuova Caledonia","Neukaledonien","Nueva Caledonia","Nova Caledônia","Nieuw-Caledonië","Új-Kaledónia","Nowa Kaledonia","Новая Каледония",""
"NewZealand","Oceania","TheCountryUppercase","HUDText","New Zealand","PSG_10009741","","","","","","","Nouvelle-Zélande","Nuova Zelanda","Neuseeland","Nueva Zelanda","Nova Zelândia","Nieuw-Zeeland","Új-Zéland","Nowa Zelandia","Новая Зеландия",""
"Nicaragua","North America","TheCountryUppercase","HUDText","Nicaragua","PSG_10009742","","","","","","","Nicaragua","Nicaragua","Nicaragua","Nicaragua","Nicarágua","Nicaragua","Nicaragua","Nikaragua","Никарагуа",""
"Niger","Africa","TheCountryUppercase","HUDText","Niger","PSG_10009743","","","","","","","Niger","Niger","Niger","Níger","Níger","Niger","Niger","Niger","Нигер",""
"Nigeria","Africa","TheCountryUppercase","HUDText","Nigeria","PSG_10009744","","","","","","","Nigeria","Nigeria","Nigeria","Nigeria","Nigéria","Nigeria","Nigéria","Nigeria","Нигерия",""
"NorthernMariana","Oceania","TheCountryUppercase","HUDText","Northern Mariana","PSG_10009745","","","","","","","Îles Mariannes du Nord","Marianne settentrionali","Nördliche Marianen","Islas Marianas del Norte","Marianas do Norte","Noordelijke Marianeneilanden","Északi-Mariana-szigetek","Mariany Północne","Северные Марианские острова",""
"NorthKorea","Asia","TheCountryUppercase","HUDText","North Korea","PSG_10009746","","","","","","","Corée du Nord","Corea del Nord","Nordkorea","Corea del Norte","Coreia do Norte","Noord-Korea","Észak-Korea","Korea Północna","КНДР",""
"Norway","Europe","TheCountryUppercase","HUDText","Norway","PSG_10009747","","","","","","","Norvège","Norvegia","Norwegen","Noruega","Noruega","Noorwegen","Norvégia","Norwegia","Норвегия",""
"Oman","Asia","TheCountryUppercase","HUDText","Oman","PSG_10009748","","","","","","","Oman","Oman","Oman","Omán","Omã","Oman","Omán","Oman","Оман",""
"Pakistan","Asia","TheCountryUppercase","HUDText","Pakistan","PSG_10009749","","","","","","","Pakistan","Pakistan","Pakistan","Pakistán","Paquistão","Pakistan","Pakisztán","Pakistan","Пакистан",""
"Palau","Oceania","TheCountryUppercase","HUDText","Palau","PSG_10009750","","","","","","","Palaos","Palau","Palau","Palaos","Palau","Palau","Palau","Palau","Палау",""
"Panama","North America","TheCountryUppercase","HUDText","Panama","PSG_10009751","","","","","","","Panama","Panama","Panama","Panamá","Panamá","Panama","Panama","Panama","Панама",""
"PapuaNewGuinea","Oceania","TheCountryUppercase","HUDText","Papua New Guinea","PSG_10009752","","","","","","","Papouasie-Nouvelle-Guinée","Papua Nuova Guinea","Papua-Neuguinea","Papúa Nueva Guinea","Papua Nova Guiné","Papoea-Nieuw-Guinea","Pápua Új-Guinea","Papua-Nowa Gwinea","Папуа - Новая Гвинея",""
"Paraguay","South America","TheCountryUppercase","HUDText","Paraguay","PSG_10009753","","","","","","","Paraguay","Paraguay","Paraguay","Paraguay","Paraguai","Paraguay","Paraguay","Paragwaj","Парагвай",""
"Peru","South America","TheCountryUppercase","HUDText","Peru","PSG_10009754","","","","","","","Pérou","Perù","Peru","Perú","Peru","Peru","Peru","Peru","Перу",""
"Philippines","Asia","TheCountryUppercase","HUDText","Philippines","PSG_10009755","","","","","","","Philippines","Filippine","Philippinen","Filipinas","Filipinas","Filipijnen","Fülöp-szigetek","Filipiny","Филиппины",""
"Poland","Europe","TheCountryUppercase","HUDText","Poland","PSG_10009756","","","","","","","Pologne","Polonia","Polen","Polonia","Polônia","Polen","Lengyelország","Polska","Польша",""
"Portugal","Europe","TheCountryUppercase","HUDText","Portugal","PSG_10009757","","","","","","","Portugal","Portogallo","Portugal","Portugal","Portugal","Portugal","Portugália","Portugalia","Португалия",""
"PuertoRico","North America","TheCountryUppercase","HUDText","Puerto Rico","PSG_10009758","","","","","","","Porto Rico","Portorico","Puerto Rico","Puerto Rico","Porto Rico","Puerto Rico","Puerto Rico","Portoryko","Пуэрто-Рико",""
"Qatar","Asia","TheCountryUppercase","HUDText","Qatar","PSG_10009759","","","","","","","Qatar","Qatar","Katar","Catar","Qatar","Qatar","Katar","Katar","Катар",""
"Romania","Europe","TheCountryUppercase","HUDText","Romania","PSG_10009760","","","","","","","Roumanie","Romania","Rumänien","Rumanía","Romênia","Roemenië","Románia","Rumunia","Румыния",""
"RussianFederation","Europe","TheCountryUppercase","HUDText","Russia","PSG_10009761","","","","","","","Fédération de Russie","Russia","Russische Föderation","Federación Rusa","Rússia","Rusland","Oroszország","Rosja","Российская Федерация",""
"Rwanda","Africa","TheCountryUppercase","HUDText","Rwanda","PSG_10009762","","","","","","","Rwanda","Ruanda","Ruanda","Ruanda","Ruanda","Rwanda","Ruanda","Rwanda","Руанда",""
"SaintKittsandNevis","North America","TheCountryUppercase","HUDText","Saint Kitts and Nevis","PSG_10009763","","","","","","","Saint-Christophe-et-Niévès","Saint Kitts e Nevis","St. Kitts und Nevis","San Cristóbal y Nieves","São Cristóvão e Névis","St. Kitts en Nevis","Saint Kitts és Nevis","Saint Kitts i Nevis","Сент-Китс и Невис",""
"SaintLucia","North America","TheCountryUppercase","HUDText","Saint Lucia","PSG_10009764","","","","","","","Sainte-Lucie","Santa Lucia","St. Lucia","St. Lucia","Santa Lúcia","St. Lucia","Saint Lucia","Saint Lucia","Сент-Люсия",""
"SaintVincentandtheGrenadines","North America","TheCountryUppercase","HUDText","Saint Vincent and the Grenadines","PSG_10009765","","","","","","","Saint-Vincent-et-les-Grenadines","Saint Vincent e Grenadine","St. Vincent und die Grenadinen","San Vicente y las Granadinas","São Vicente e Granadinas","St. Vincent en de Grenadines","Saint Vincent és a Grenadine-szigetek","Saint Vincent i Grenadyny","Сент-Винсент и Гренадины",""
"Samoa","Oceania","TheCountryUppercase","HUDText","Samoa","PSG_10009766","","","","","","","Samoa","Samoa","Samoa","Samoa","Samoa","Samoa","Szamoa","Samoa","Самоа",""
"SanMarino","Europe","TheCountryUppercase","HUDText","San Marino","PSG_10009767","","","","","","","Saint-Marin","San Marino","San Marino","San Marino","São Marinho","San Marino","San Marino","San Marino","Сан-Марино",""
"SaoTomeandPrincipe","Africa","TheCountryUppercase","HUDText","Sao Tome and Principe","PSG_10009768","","","","","","","Sao Tomé-et-Principe","São Tomé e Príncipe","São Tomé und Príncipe","Santo Tomé y Príncipe","São Tomé e Príncipe","St. Tomé en Principe","Sao Tomé és Principe","Wyspy Świętego Tomasza i Książęca","Сан-Томе и Принсипи",""
"SaudiArabia","Asia","TheCountryUppercase","HUDText","Saudi Arabia","PSG_10009769","","","","","","","Arabie saoudite","Arabia Saudita","Saudi-Arabien","Arabia Saudí","Arábia Saudita","Saoedi-Arabië","Szaúd-Arábia","Arabia Saudyjska","Саудовская Аравия",""
"Senegal","Africa","TheCountryUppercase","HUDText","Senegal","PSG_10009770","","","","","","","Sénégal","Senegal","Senegal","Senegal","Senegal","Senegal","Szenegál","Senegal","Сенегал",""
"Serbia","Europe","TheCountryUppercase","HUDText","Serbia","PSG_10009771","","","","","","","Serbie","Serbia","Serbien","Serbia","Sérvia","Servië","Szerbia","Serbia","Сербия",""
"Seychelles","Africa","TheCountryUppercase","HUDText","Seychelles","PSG_10009772","","","","","","","Seychelles","Seychelles","Seychellen","Seychelles","Seicheles","Seychellen","Seychelle-szigetek","Seszele","Сейшелы",""
"SierraLeone","Africa","TheCountryUppercase","HUDText","Sierra Leone","PSG_10009773","","","","","","","Sierra Leone","Sierra Leone","Sierra Leone","Sierra Leona","Serra Leoa","Sierra Leone","Sierra Leone","Sierra Leone","Сьерра-Леоне",""
"Singapore","Asia","TheCountryUppercase","HUDText","Singapore","PSG_10009774","","","","","","","Singapour","Singapore","Singapur","Singapur","Singapura","Singapore","Szingapúr","Singapur","Сингапур",""
"Slovakia","Europe","TheCountryUppercase","HUDText","Slovakia","PSG_10009775","","","","","","","Slovaquie","Slovacchia","Slowakei","Eslovaquia","Eslováquia","Slowakije","Szlovákia","Słowacja","Словакия",""
"Slovenia","Europe","TheCountryUppercase","HUDText","Slovenia","PSG_10009776","","","","","","","Slovénie","Slovenia","Slowenien","Eslovenia","Eslovênia","Slovenië","Szlovénia","Słowenia","Словения",""
"SolomonIslands","Oceania","TheCountryUppercase","HUDText","Solomon Islands","PSG_10009777","","","","","","","Îles Salomon","Isole Salomone","Salomonen","Islas Salomón","Ilhas Salomão","Salomonseilanden","Salamon-szigetek","Wyspy Salomona","Соломоновы острова",""
"Somalia","Africa","TheCountryUppercase","HUDText","Somalia","PSG_10009778","","","","","","","Somalie","Somalia","Somalia","Somalia","Somália","Somalië","Szomália","Somalia","Сомали",""
"SouthAfrica","Africa","TheCountryUppercase","HUDText","South Africa","PSG_10009779","","","","","","","Afrique du Sud","Sudafrica","Südafrika","Sudáfrica","África do Sul","Zuid-Afrika","Dél-Afrika","Republika Południowej Afryki","ЮАР",""
"SouthKorea","Asia","TheCountryUppercase","HUDText","South Korea","PSG_10009780","","","","","","","Corée du Sud","Corea del Sud","Südkorea","Corea del Sur","Coreia do Sul","Zuid-Korea","Dél-Korea","Korea Południowa","Южная Корея",""
"SouthSudan","Africa","TheCountryUppercase","HUDText","South Sudan","PSG_10009781","","","","","","","Soudan du Sud","Sudan del Sud","Südsudan","Sudán del Sur","Sudão do Sul","Zuid-Soedan","Dél-Szudán","Sudan Południowy","Южный Судан",""
"Spain","Europe","TheCountryUppercase","HUDText","Spain","PSG_10009782","","","","","","","Espagne","Spagna","Spanien","España","Espanha","Spanje","Spanyolország","Hiszpania","Испания",""
"SriLanka","Asia","TheCountryUppercase","HUDText","Sri Lanka","PSG_10009783","","","","","","","Sri Lanka","Sri Lanka","Sri Lanka","Sri Lanka","Sri Lanka","Sri Lanka","Srí Lanka","Sri Lanka","Шри-Ланка",""
"Sudan","Africa","TheCountryUppercase","HUDText","Sudan","PSG_10009784","","","","","","","Soudan","Sudan","Sudan","Sudán","Sudão","Soedan","Szudán","Sudan","Судан",""
"Suriname","South America","TheCountryUppercase","HUDText","Suriname","PSG_10009785","","","","","","","Surinam","Suriname","Surinam","Surinam","Suriname","Suriname","Suriname","Surinam","Суринам",""
"Swaziland","Africa","TheCountryUppercase","HUDText","Swaziland","PSG_10009786","","","","","","","Swaziland","Swaziland","Swasiland","Suazilandia","Suazilândia","Swaziland","Szváziföld","Suazi","Свазиленд",""
"Sweden","Europe","TheCountryUppercase","HUDText","Sweden","PSG_10009787","","","","","","","Suède","Svezia","Schweden","Suecia","Suécia","Zweden","Svédország","Szwecja","Швеция",""
"Switzerland","Europe","TheCountryUppercase","HUDText","Switzerland","PSG_10009788","","","","","","","Suisse","Svizzera","Schweiz","Suiza","Suíça","Zwitserland","Svájc","Szwajcaria","Швейцария",""
"Syria","Asia","TheCountryUppercase","HUDText","Syria","PSG_10009789","","","","","","","Syrie","Siria","Syrien","Siria","Síria","Syrië","Szíria","Syria","Сирия",""
"Tajikistan","Asia","TheCountryUppercase","HUDText","Tajikistan","PSG_10009790","","","","","","","Tadjikistan","Tagikistan","Tadschikistan","Tayikistán","Tadjiquistão","Tadzjikistan","Tádzsikisztán","Tadżykistan","Таджикистан",""
"Tanzania","Africa","TheCountryUppercase","HUDText","Tanzania","PSG_10009791","","","","","","","Tanzanie","Tanzania","Tansania","Tanzania","Tanzânia","Tanzania","Tanzánia","Tanzania","Танзания",""
"Thailand","Asia","TheCountryUppercase","HUDText","Thailand","PSG_10009792","","","","","","","Thaïlande","Thailandia","Thailand","Tailandia","Tailândia","Thailand","Thaiföld","Tajlandia","Таиланд",""
"Togo","Africa","TheCountryUppercase","HUDText","Togo","PSG_10009793","","","","","","","Togo","Togo","Togo","Togo","Togo","Togo","Togo","Togo","Того",""
"Tonga","Oceania","TheCountryUppercase","HUDText","Tonga","PSG_10009794","","","","","","","Tonga","Tonga","Tonga","Tonga","Tonga","Tonga","Tonga","Tonga","Тонга",""
"TrinidadandTobago","North America","TheCountryUppercase","HUDText","Trinidad and Tobago","PSG_10009795","","","","","","","Trinité-et-Tobago","Trinidad e Tobago","Trinidad und Tobago","Trinidad y Tobago","Trindade e Tobago","Trinidad en Tobago","Trinidad és Tobago","Trynidad i Tobago","Тринидад и Тобаго",""
"Tunisia","Africa","TheCountryUppercase","HUDText","Tunisia","PSG_10009796","","","","","","","Tunisie","Tunisia","Tunesien","Túnez","Tunísia","Tunesië","Tunézia","Tunezja","Тунис",""
"Turkey","Asia","TheCountryUppercase","HUDText","Turkey","PSG_10009797","","","","","","","Turquie","Turchia","Türkei","Turquía","Turquia","Turkije","Törökország","Turcja","Турция",""
"Turkmenistan","Asia","TheCountryUppercase","HUDText","Turkmenistan","PSG_10009798","","","","","","","Turkménistan","Turkmenistan","Turkmenistan","Turkmenistán","Turcomenistão","Turkmenistan","Türkmenisztán","Turkmenistan","Туркменистан",""
"Tuvalu","Oceania","TheCountryUppercase","HUDText","Tuvalu","PSG_10009799","","","","","","","Tuvalu","Tuvalu","Tuvalu","Tuvalu","Tuvalu","Tuvalu","Tuvalu","Tuvalu","Тувалу",""
"Uganda","Africa","TheCountryUppercase","HUDText","Uganda","PSG_10009800","","","","","","","Ouganda","Uganda","Uganda","Uganda","Uganda","Oeganda","Uganda","Uganda","Уганда",""
"UK","Europe","TheCountryUppercase","HUDText","The United Kingdom","PSG_10009801","","","","","","","Royaume-Uni","Regno Unito","Vereinigtes Königreich","Reino Unido","Reino Unido","Het Verenigd Koninkrijk","Az Egyesült Királyság","Wielka Brytania","Великобритания",""
"Ukraine","Europe","TheCountryUppercase","HUDText","Ukraine","PSG_10009802","","","","","","","Ukraine","Ucraina","Ukraine","Ucrania","Ucrânia","Oekraïne","Ukrajna","Ukraina","Украина",""
"UnitedArabEmirates","Asia","TheCountryUppercase","HUDText","The United Arab Emirates","PSG_10009803","","","","","","","Émirats arabes unis","Emirati Arabi Uniti","Vereinigte Arabische Emirate","Emiratos Árabes Unidos","Emirados Árabes Unidos","De Verenigde Arabische Emiraten","Az Egyesült Arab Emírségek","Zjednoczone Emiraty Arabskie","Объединенные Арабские Эмираты",""
"UnitedStates","North America","TheCountryUppercase","HUDText","The United States","PSG_10009804","","","","","","","États-Unis","Stati Uniti","USA","Estados Unidos","Estados Unidos","De Verenigde Staten","Az Egyesült Államok","Stany Zjednoczone","США",""
"Uruguay","South America","TheCountryUppercase","HUDText","Uruguay","PSG_10009805","","","","","","","Uruguay","Uruguay","Uruguay","Uruguay","Uruguai","Uruguay","Uruguay","Urugwaj","Уругвай",""
"Uzbekistan","Asia","TheCountryUppercase","HUDText","Uzbekistan","PSG_10009806","","","","","","","Ouzbékistan","Uzbekistan","Usbekistan","Uzbekistán","Uzbequistão","Oezbekistan","Üzbegisztán","Uzbekistan","Узбекистан",""
"Vanuatu","Oceania","TheCountryUppercase","HUDText","Vanuatu","PSG_10009807","","","","","","","Vanuatu","Vanuatu","Vanuatu","Vanuatu","Vanuatu","Vanuatu","Vanuatu","Vanuatu","Вануату",""
"VaticanCity","Europe","TheCountryUppercase","HUDText","The Vatican City","PSG_10009808","","","","","","","Vatican","Città del Vaticano","Vatikanstadt","Ciudad del Vaticano","Cidade do Vaticano","Vaticaanstad","A Vatikán","Watykan","Ватикан",""
"Venezuela","South America","TheCountryUppercase","HUDText","Venezuela","PSG_10009809","","","","","","","Venezuela","Venezuela","Venezuela","Venezuela","Venezuela","Venezuela","Venezuela","Wenezuela","Венесуэла",""
"Vietnam","Asia","TheCountryUppercase","HUDText","Vietnam","PSG_10009810","","","","","","","Vietnam","Vietnam","Vietnam","Vietnam","Vietnã","Vietnam","Vietnam","Wietnam","Вьетнам",""
"WallisandFutuna","Oceania","TheCountryUppercase","HUDText","Wallis and Futuna","PSG_10009811","","","","","","","Wallis-et-Futuna","Wallis e Futuna","Wallis und Futuna","Wallis y Futuna","Wallis e Futuna","Wallis en Futuna","Wallis és Futuna","Wallis i Futuna","Уоллис и Футуна",""
"Yemen","Asia","TheCountryUppercase","HUDText","Yemen","PSG_10009812","","","","","","","Yémen","Yemen","Jemen","Yemen","Iêmen","Jemen","Jemen","Jemen","Йемен",""
"Zambia","Africa","TheCountryUppercase","HUDText","Zambia","PSG_10009813","","","","","","","Zambie","Zambia","Sambia","Zambia","Zâmbia","Zambia","Zambia","Zambia","Замбия",""
"Zimbabwe","Africa","TheCountryUppercase","HUDText","Zimbabwe","PSG_10009814","","","","","","","Zimbabwe","Zimbabwe","Simbabwe","Zimbabue","Zimbábue","Zimbabwe","Zimbabwe","Zimbabwe","Зимбабве",""
"Afghanistan","Asia","Nationality","HUDText","Afghan","PSG_10001080","","","","","","","d'Afghanistan","<gender^NationalityGender=F>
afgana
</gender>
<gender^NationalityGender=M>
afgano
</gender>
","afghanisch","<gender^NationalityGender=F>
afgana
</gender>
<gender^NationalityGender=M>
afgano
</gender>","<gender^NationalityGender=F>
afegã
</gender>
<gender^NationalityGender=M>
afegão
</gender>
","Afghaanse","afgán","afgański","<gender^NationalityGender=F>
афганская
</gender>
<gender^NationalityGender=M>
афганский
</gender>",""
"Albania","Europe","Nationality","HUDText","Albanian","PSG_10001081","","","","","","","d'Albanie","albanese","albanisch","<gender^NationalityGender=F>
albana
</gender>
<gender^NationalityGender=M>
albano
</gender>","<gender^NationalityGender=F>
albanesa
</gender>
<gender^NationalityGender=M>
albanês
</gender>
","Albanese","albán","albański","<gender^NationalityGender=F>
албанская
</gender>
<gender^NationalityGender=M>
албанский
</gender>",""
"Algeria","Africa","Nationality","HUDText","Algerian","PSG_10001082","","","","","","","d'Algérie","<gender^NationalityGender=F>
algerina
</gender>
<gender^NationalityGender=M>
algerino
</gender>
","algerisch","<gender^NationalityGender=F>
argelina
</gender>
<gender^NationalityGender=M>
argelino
</gender>","<gender^NationalityGender=F>
argélia
</gender>
<gender^NationalityGender=M>
argélio
</gender>
","Algerijnse","algériai","algierski","<gender^NationalityGender=F>
алжирская
</gender>
<gender^NationalityGender=M>
алжирский
</gender>",""
"Andorra","Europe","Nationality","HUDText","Andorran","PSG_10001083","","","","","","","d'Andorre","<gender^NationalityGender=F>
andorrana
</gender>
<gender^NationalityGender=M>
andorrano
</gender>
","andorranisch","<gender^NationalityGender=F>
andorrana
</gender>
<gender^NationalityGender=M>
andorrano
</gender>","<gender^NationalityGender=F>
andorrana
</gender>
<gender^NationalityGender=M>
andorrano
</gender>
","Andorrese","andorrai","andorski","<gender^NationalityGender=F>
андоррская
</gender>
<gender^NationalityGender=M>
андоррский
</gender>",""
"Angola","Africa","Nationality","HUDText","Angolan","PSG_10001084","","","","","","","d'Angola","<gender^NationalityGender=F>
angolana
</gender>
<gender^NationalityGender=M>
angolano
</gender>","angolanisch","<gender^NationalityGender=F>
angoleña
</gender>
<gender^NationalityGender=M>
angoleño
</gender>","<gender^NationalityGender=F>
angolana
</gender>
<gender^NationalityGender=M>
angolano
</gender>
","Angolaanse","angolai","angolski","<gender^NationalityGender=F>
ангольская
</gender>
<gender^NationalityGender=M>
ангольский
</gender>",""
"AntiguaandBarbuda","North America","Nationality","HUDText","Antiguan","PSG_10001085","","","","","","","d'Antigua-et-Barbuda","di Antigua","antiguanisch","<gender^NationalityGender=F>
antiguana
</gender>
<gender^NationalityGender=M>
antiguano
</gender>","<gender^NationalityGender=F>
antiguana
</gender>
<gender^NationalityGender=M>
antiguano
</gender>
","Antiguaanse","antiguai","antiguański","<gender^NationalityGender=F>
антигуанская
</gender>
<gender^NationalityGender=M>
антигуанский
</gender>",""
"Argentina","South America","Nationality","HUDText","Argentine","PSG_10001086","","","","","","","d'Argentine","<gender^NationalityGender=F>
argentina
</gender>
<gender^NationalityGender=M>
argentino
</gender>
","argentinisch","<gender^NationalityGender=F>
argentina
</gender>
<gender^NationalityGender=M>
argentino
</gender>","<gender^NationalityGender=F>
argentina
</gender>
<gender^NationalityGender=M>
argentino
</gender>
","Argentijnse","argentin","argentyński","<gender^NationalityGender=F>
аргентинская
</gender>
<gender^NationalityGender=M>
аргентинский
</gender>",""
"Armenia","Europe","Nationality","HUDText","Armenian","PSG_10001087","","","","","","","d'Arménie","<gender^NationalityGender=F>
armena
</gender>
<gender^NationalityGender=M>
armeno
</gender>
","armenisch","<gender^NationalityGender=F>
armenia
</gender>
<gender^NationalityGender=M>
armenio
</gender>","<gender^NationalityGender=F>
armênia
</gender>
<gender^NationalityGender=M>
armênio
</gender>
","Armeense","örmény","armeński","<gender^NationalityGender=F>
армянская
</gender>
<gender^NationalityGender=M>
армянский
</gender>",""
"Aruba","South America","Nationality","HUDText","Aruban","PSG_10011106","","","","","","","d'Aruba","di Aruba","arubisch","<gender^NationalityGender=F>
arubiana
</gender>
<gender^NationalityGender=M>
arubiano
</gender>","<gender^NationalityGender=F>
arubana
</gender>
<gender^NationalityGender=M>
arubano
</gender>","Arubaanse","arubai","arubański","<gender^NationalityGender=F>
арубанская
</gender>
<gender^NationalityGender=M>
арубанский
</gender>",""
"Australia","Oceania","Nationality","HUDText","Australian","PSG_10001088","","","","","","","d'Australie","<gender^NationalityGender=F>
australiana
</gender>
<gender^NationalityGender=M>
australiano
</gender>
","australisch","<gender^NationalityGender=F>
australiana
</gender>
<gender^NationalityGender=M>
australiano
</gender>","<gender^NationalityGender=F>
australiana
</gender>
<gender^NationalityGender=M>
australiano
</gender>
","Australische","ausztrál","australijski","<gender^NationalityGender=F>
австралийская
</gender>
<gender^NationalityGender=M>
австралийский
</gender>",""
"Austria","Europe","Nationality","HUDText","Austrian","PSG_10001089","","","","","","","d'Autriche","<gender^NationalityGender=F>
austriaca
</gender>
<gender^NationalityGender=M>
austriaco
</gender>
","österreichisch","<gender^NationalityGender=F>
austriaca
</gender>
<gender^NationalityGender=M>
austriaco
</gender>","<gender^NationalityGender=F>
austríaca
</gender>
<gender^NationalityGender=M>
austríaco
</gender>
","Oostenrijkse","osztrák","austriacki","<gender^NationalityGender=F>
австрийская
</gender>
<gender^NationalityGender=M>
австрийский
</gender>",""
"Azerbaijan","Europe","Nationality","HUDText","Azeri","PSG_10001090","","","","","","","d'Azerbaïdjan","<gender^NationalityGender=F>
azera
</gender>
<gender^NationalityGender=M>
azero
</gender>
","aserbaidschanisch","azerí","azeri","Azerbeidzjaanse","azeri","azerski","<gender^NationalityGender=F>
азербайджанская
</gender>
<gender^NationalityGender=M>
азербайджанский
</gender>",""
"Bahamas","North America","Nationality","HUDText","Bahamian","PSG_10001091","","","","","","","des Bahamas","bahamense","bahamesisch","<gender^NationalityGender=F>
bahameña
</gender>
<gender^NationalityGender=M>
bahameño
</gender>","<gender^NationalityGender=F>
bahamiana
</gender>
<gender^NationalityGender=M>
bahamiano
</gender>
","Bahamaanse","Bahama-szigeteki","bahamski","<gender^NationalityGender=F>
багамская
</gender>
<gender^NationalityGender=M>
багамский
</gender>",""
"Bahrain","Asia","Nationality","HUDText","Bahraini","PSG_10001092","","","","","","","du Bahreïn","bahranita","baharanisch","bahreiní","bareinita","Bahreinse","bahreini","bahrański","<gender^NationalityGender=F>
бахрейнская
</gender>
<gender^NationalityGender=M>
бахрейнский
</gender>",""
"Bangladesh","Asia","Nationality","HUDText","Bangladeshi","PSG_10001093","","","","","","","du Bangladesh","bengalese","bangladesisch","bangladesí","bengali","Bengalese","bangladesi","banglijski","<gender^NationalityGender=F>
бангладешская
</gender>
<gender^NationalityGender=M>
бангладешский
</gender>",""
"Barbados","North America","Nationality","HUDText","Barbadian","PSG_10001094","","","","","","","de la Barbade","delle Barbados","barbadisch","barbadense","<gender^NationalityGender=F>
barbadiana
</gender>
<gender^NationalityGender=M>
barbadiano
</gender>
","Barbadaanse","barbadosi","barbadoski","<gender^NationalityGender=F>
барбадосская
</gender>
<gender^NationalityGender=M>
барбадосский
</gender>",""
"Belarus","Europe","Nationality","HUDText","Belarusian","PSG_10001095","","","","","","","de Biélorussie","<gender^NationalityGender=F>
bielorussa
</gender>
<gender^NationalityGender=M>
bielorusso
</gender>
","weißrussisch","<gender^NationalityGender=F>
bielorrusa
</gender>
<gender^NationalityGender=M>
bielorruso
</gender>","<gender^NationalityGender=F>
bielorrussa
</gender>
<gender^NationalityGender=M>
bielorrusso
</gender>
","Wit-Russische","belorusz","białoruski","<gender^NationalityGender=F>
белорусская
</gender>
<gender^NationalityGender=M>
белорусский
</gender>",""
"Belgium","Europe","Nationality","HUDText","Belgian","PSG_10001096","","","","","","","de Belgique","belga","belgisch","belga","belga","Belgische","belga","belgijski","<gender^NationalityGender=F>
бельгийская
</gender>
<gender^NationalityGender=M>
бельгийский
</gender>",""
